smnno,first_month,amount,second_month,amount,third_month,amount 
SMN/001,JANUARY,8341,FEB,13180,MAR,14288
SMN/002,JANUARY,8863,FEB,7471,MAR,11145
SMN/003,JANUARY,8027,FEB,13584,MAR,6409
SMN/004,JANUARY,8543,FEB,6685,MAR,10531
SMN/005,JANUARY,11826,FEB,12101,MAR,11242
SMN/006,JANUARY,13647,FEB,12274,MAR,8138
SMN/007,JANUARY,7440,FEB,11216,MAR,8943
SMN/008,JANUARY,6207,FEB,13548,MAR,7480
SMN/009,JANUARY,9982,FEB,14110,MAR,7044
SMN/010,JANUARY,13907,FEB,8168,MAR,11843
SMN/011,JANUARY,11987,FEB,6718,MAR,10999
SMN/012,JANUARY,8779,FEB,13613,MAR,7653
SMN/013,JANUARY,6547,FEB,13581,MAR,9851
SMN/014,JANUARY,10872,FEB,7935,MAR,9087
SMN/015,JANUARY,8408,FEB,14754,MAR,8902
SMN/016,JANUARY,13151,FEB,5902,MAR,8671
SMN/017,JANUARY,10081,FEB,12942,MAR,13783
SMN/018,JANUARY,10149,FEB,12737,MAR,10610
SMN/019,JANUARY,5498,FEB,9806,MAR,14853
SMN/020,JANUARY,9824,FEB,14834,MAR,9849
SMN/021,JANUARY,14013,FEB,5925,MAR,8383
SMN/022,JANUARY,11186,FEB,11953,MAR,12719
SMN/023,JANUARY,13914,FEB,9031,MAR,14816
SMN/024,JANUARY,6881,FEB,7814,MAR,5627
SMN/025,JANUARY,12035,FEB,14816,MAR,5288
SMN/026,JANUARY,8983,FEB,6830,MAR,13507
SMN/027,JANUARY,12375,FEB,9047,MAR,5954
SMN/028,JANUARY,8153,FEB,5971,MAR,11475
SMN/029,JANUARY,12007,FEB,5732,MAR,7468
SMN/030,JANUARY,9137,FEB,6687,MAR,14608
SMN/031,JANUARY,12938,FEB,12896,MAR,11607
SMN/032,JANUARY,5048,FEB,14613,MAR,11043
SMN/033,JANUARY,5727,FEB,10286,MAR,9271
SMN/034,JANUARY,10328,FEB,8886,MAR,7310
SMN/035,JANUARY,13683,FEB,12258,MAR,11912
SMN/036,JANUARY,14540,FEB,9315,MAR,11576
SMN/037,JANUARY,14599,FEB,11951,MAR,8114
SMN/038,JANUARY,6675,FEB,15000,MAR,7745
SMN/039,JANUARY,9040,FEB,8972,MAR,5198
