smnno,first_month,amount,second_month,amount,third_month,amount 
SMN/001,APR,8341,MAY,13180,JUN,14288
SMN/002,APR,8863,MAY,7471,JUN,11145
SMN/003,APR,8027,MAY,13584,JUN,6409
SMN/004,APR,8543,MAY,6685,JUN,10531
SMN/005,APR,11826,MAY,12101,JUN,11242
SMN/006,APR,13647,MAY,12274,JUN,8138
SMN/007,APR,7440,MAY,11216,JUN,8943
SMN/008,APR,6207,MAY,13548,JUN,7480
SMN/009,APR,9982,MAY,14110,JUN,7044
SMN/010,APR,13907,MAY,8168,JUN,11843
SMN/011,APR,11987,MAY,6718,JUN,10999
SMN/012,APR,8779,MAY,13613,JUN,7653
SMN/013,APR,6547,MAY,13581,JUN,9851
SMN/014,APR,10872,MAY,7935,JUN,9087
SMN/015,APR,8408,MAY,14754,JUN,8902
SMN/016,APR,13151,MAY,5902,JUN,8671
SMN/017,APR,10081,MAY,12942,JUN,13783
SMN/018,APR,10149,MAY,12737,JUN,10610
SMN/019,APR,5498,MAY,9806,JUN,14853
SMN/020,APR,9824,MAY,14834,JUN,9849
SMN/021,APR,14013,MAY,5925,JUN,8383
SMN/022,APR,11186,MAY,11953,JUN,12719
SMN/023,APR,13914,MAY,9031,JUN,14816
SMN/024,APR,6881,MAY,7814,JUN,5627
SMN/025,APR,12035,MAY,14816,JUN,5288
SMN/026,APR,8983,MAY,6830,JUN,13507
SMN/027,APR,12375,MAY,9047,JUN,5954
SMN/028,APR,8153,MAY,5971,JUN,11475
SMN/029,APR,12007,MAY,5732,JUN,7468
SMN/030,APR,9137,MAY,6687,JUN,14608
SMN/031,APR,12938,MAY,12896,JUN,11607
SMN/032,APR,5048,MAY,14613,JUN,11043
SMN/033,APR,5727,MAY,10286,JUN,9271
SMN/034,APR,10328,MAY,8886,JUN,7310
SMN/035,APR,13683,MAY,12258,JUN,11912
SMN/036,APR,14540,MAY,9315,JUN,11576
SMN/037,APR,14599,MAY,11951,JUN,8114
SMN/038,APR,6675,MAY,15000,JUN,7745
SMN/039,APR,9040,MAY,8972,JUN,5198
SMN/040,APR,11455,MAY,14689,JUN,7769
SMN/041,APR,10208,MAY,8112,JUN,9974
SMN/042,APR,14769,MAY,14116,JUN,6437
SMN/043,APR,11672,MAY,10316,JUN,12619
SMN/044,APR,11590,MAY,9849,JUN,12744
SMN/045,APR,12754,MAY,12998,JUN,12135
SMN/046,APR,7704,MAY,11619,JUN,6847
SMN/047,APR,8498,MAY,13082,JUN,11687
SMN/048,APR,9903,MAY,11685,JUN,14301
SMN/049,APR,6677,MAY,6962,JUN,9511
SMN/050,APR,11367,MAY,7164,JUN,8718
SMN/051,APR,10204,MAY,11384,JUN,6808
SMN/052,APR,8832,MAY,8460,JUN,12268
SMN/053,APR,11473,MAY,8207,JUN,12655
SMN/054,APR,14254,MAY,7175,JUN,13469
SMN/055,APR,12058,MAY,5626,JUN,8947
SMN/056,APR,12747,MAY,12658,JUN,9190
SMN/057,APR,13266,MAY,10147,JUN,9007
SMN/058,APR,5309,MAY,10294,JUN,8325
SMN/059,APR,8684,MAY,10248,JUN,11043
SMN/060,APR,14458,MAY,9106,JUN,9284
SMN/061,APR,11391,MAY,9765,JUN,5160
SMN/062,APR,14239,MAY,5809,JUN,12265
SMN/063,APR,7027,MAY,14889,JUN,12098
SMN/064,APR,7571,MAY,8010,JUN,12033
SMN/065,APR,7923,MAY,8382,JUN,9205
SMN/066,APR,5901,MAY,14004,JUN,5121
SMN/067,APR,10353,MAY,11108,JUN,10360
SMN/068,APR,12945,MAY,12878,JUN,5292
SMN/069,APR,5462,MAY,11477,JUN,8098
SMN/070,APR,12914,MAY,13835,JUN,9190
SMN/071,APR,12535,MAY,5447,JUN,7234
SMN/072,APR,10524,MAY,14854,JUN,8724
SMN/073,APR,5355,MAY,13571,JUN,9099
SMN/074,APR,13245,MAY,9071,JUN,13814
SMN/075,APR,5025,MAY,8632,JUN,5122
SMN/076,APR,11387,MAY,14461,JUN,13341
SMN/077,APR,14102,MAY,8824,JUN,14783
SMN/078,APR,8714,MAY,7623,JUN,12172
SMN/079,APR,13254,MAY,12456,JUN,14469
SMN/080,APR,6096,MAY,7499,JUN,11431
SMN/081,APR,10505,MAY,12208,JUN,5758
SMN/082,APR,13020,MAY,5068,JUN,14062
SMN/083,APR,13721,MAY,6096,JUN,7455
SMN/084,APR,11866,MAY,8039,JUN,5190
SMN/085,APR,13261,MAY,13581,JUN,5730
SMN/086,APR,13894,MAY,14813,JUN,13224
SMN/087,APR,11771,MAY,11800,JUN,5665
SMN/088,APR,11081,MAY,14495,JUN,5704
SMN/089,APR,11075,MAY,11037,JUN,14438
SMN/090,APR,9093,MAY,11888,JUN,5222
SMN/091,APR,7395,MAY,5726,JUN,8620
SMN/092,APR,11157,MAY,10367,JUN,10506
SMN/093,APR,8166,MAY,6826,JUN,5109
SMN/094,APR,9085,MAY,11084,JUN,6243
SMN/095,APR,9200,MAY,12260,JUN,7089
SMN/096,APR,5965,MAY,7993,JUN,6034
SMN/097,APR,11204,MAY,11370,JUN,10839
SMN/098,APR,6986,MAY,8379,JUN,8989
SMN/099,APR,14444,MAY,6738,JUN,6906
SMN/100,APR,14060,MAY,12112,JUN,7124
SMN/101,APR,6653,MAY,6358,JUN,13346
SMN/102,APR,10306,MAY,6061,JUN,6508
SMN/103,APR,12793,MAY,10553,JUN,8710
SMN/104,APR,9063,MAY,8511,JUN,9727
SMN/105,APR,7325,MAY,9262,JUN,12821
SMN/106,APR,12551,MAY,12279,JUN,6287
SMN/107,APR,9073,MAY,5526,JUN,10385
SMN/108,APR,11827,MAY,9354,JUN,11362
SMN/109,APR,8961,MAY,13080,JUN,14456
SMN/110,APR,6858,MAY,8541,JUN,9019
SMN/111,APR,10462,MAY,10174,JUN,10079
SMN/112,APR,11591,MAY,9674,JUN,13701
SMN/113,APR,13081,MAY,10544,JUN,8890
SMN/114,APR,8837,MAY,9397,JUN,7494
SMN/115,APR,8689,MAY,9663,JUN,6552
SMN/116,APR,11905,MAY,8562,JUN,6475
SMN/117,APR,12204,MAY,5251,JUN,9650
SMN/118,APR,6086,MAY,12508,JUN,14417
SMN/119,APR,12271,MAY,14956,JUN,12598
SMN/120,APR,14923,MAY,13415,JUN,9668
SMN/121,APR,6730,MAY,11588,JUN,10390
SMN/122,APR,11571,MAY,13893,JUN,14968
SMN/123,APR,12691,MAY,10706,JUN,14205
SMN/124,APR,6408,MAY,12488,JUN,6164
SMN/125,APR,12086,MAY,13960,JUN,5784
SMN/126,APR,7470,MAY,8442,JUN,13921
SMN/127,APR,8252,MAY,6200,JUN,8273
SMN/128,APR,13149,MAY,10443,JUN,14803
SMN/129,APR,6800,MAY,11921,JUN,11707
