smnno,first_month,amount,second_month,amount,third_month,amount 
SMN/001,JAN,8341,FEB,13180,MAR,14288
SMN/002,JAN,8863,FEB,7471,MAR,11145
SMN/003,JAN,8027,FEB,13584,MAR,6409
SMN/004,JAN,8543,FEB,6685,MAR,10531
SMN/005,JAN,11826,FEB,12101,MAR,11242
SMN/006,JAN,13647,FEB,12274,MAR,8138
SMN/007,JAN,7440,FEB,11216,MAR,8943
SMN/008,JAN,6207,FEB,13548,MAR,7480
SMN/009,JAN,9982,FEB,14110,MAR,7044
SMN/010,JAN,13907,FEB,8168,MAR,11843
SMN/011,JAN,11987,FEB,6718,MAR,10999
SMN/012,JAN,8779,FEB,13613,MAR,7653
SMN/013,JAN,6547,FEB,13581,MAR,9851
SMN/014,JAN,10872,FEB,7935,MAR,9087
SMN/015,JAN,8408,FEB,14754,MAR,8902
SMN/016,JAN,13151,FEB,5902,MAR,8671
SMN/017,JAN,10081,FEB,12942,MAR,13783
SMN/018,JAN,10149,FEB,12737,MAR,10610
SMN/019,JAN,5498,FEB,9806,MAR,14853
SMN/020,JAN,9824,FEB,14834,MAR,9849
SMN/021,JAN,14013,FEB,5925,MAR,8383
SMN/022,JAN,11186,FEB,11953,MAR,12719
SMN/023,JAN,13914,FEB,9031,MAR,14816
SMN/024,JAN,6881,FEB,7814,MAR,5627
SMN/025,JAN,12035,FEB,14816,MAR,5288
SMN/026,JAN,8983,FEB,6830,MAR,13507
SMN/027,JAN,12375,FEB,9047,MAR,5954
SMN/028,JAN,8153,FEB,5971,MAR,11475
SMN/029,JAN,12007,FEB,5732,MAR,7468
SMN/030,JAN,9137,FEB,6687,MAR,14608
SMN/031,JAN,12938,FEB,12896,MAR,11607
SMN/032,JAN,5048,FEB,14613,MAR,11043
SMN/033,JAN,5727,FEB,10286,MAR,9271
SMN/034,JAN,10328,FEB,8886,MAR,7310
SMN/035,JAN,13683,FEB,12258,MAR,11912
SMN/036,JAN,14540,FEB,9315,MAR,11576
SMN/037,JAN,14599,FEB,11951,MAR,8114
SMN/038,JAN,6675,FEB,15000,MAR,7745
SMN/039,JAN,9040,FEB,8972,MAR,5198
SMN/040,JAN,11455,FEB,14689,MAR,7769
SMN/041,JAN,10208,FEB,8112,MAR,9974
SMN/042,JAN,14769,FEB,14116,MAR,6437
SMN/043,JAN,11672,FEB,10316,MAR,12619
SMN/044,JAN,11590,FEB,9849,MAR,12744
SMN/045,JAN,12754,FEB,12998,MAR,12135
SMN/046,JAN,7704,FEB,11619,MAR,6847
SMN/047,JAN,8498,FEB,13082,MAR,11687
SMN/048,JAN,9903,FEB,11685,MAR,14301
SMN/049,JAN,6677,FEB,6962,MAR,9511
SMN/050,JAN,11367,FEB,7164,MAR,8718
SMN/051,JAN,10204,FEB,11384,MAR,6808
SMN/052,JAN,8832,FEB,8460,MAR,12268
SMN/053,JAN,11473,FEB,8207,MAR,12655
SMN/054,JAN,14254,FEB,7175,MAR,13469
SMN/055,JAN,12058,FEB,5626,MAR,8947
SMN/056,JAN,12747,FEB,12658,MAR,9190
SMN/057,JAN,13266,FEB,10147,MAR,9007
SMN/058,JAN,5309,FEB,10294,MAR,8325
SMN/059,JAN,8684,FEB,10248,MAR,11043
SMN/060,JAN,14458,FEB,9106,MAR,9284
SMN/061,JAN,11391,FEB,9765,MAR,5160
SMN/062,JAN,14239,FEB,5809,MAR,12265
SMN/063,JAN,7027,FEB,14889,MAR,12098
SMN/064,JAN,7571,FEB,8010,MAR,12033
SMN/065,JAN,7923,FEB,8382,MAR,9205
SMN/066,JAN,5901,FEB,14004,MAR,5121
SMN/067,JAN,10353,FEB,11108,MAR,10360
SMN/068,JAN,12945,FEB,12878,MAR,5292
SMN/069,JAN,5462,FEB,11477,MAR,8098
SMN/070,JAN,12914,FEB,13835,MAR,9190
SMN/071,JAN,12535,FEB,5447,MAR,7234
SMN/072,JAN,10524,FEB,14854,MAR,8724
SMN/073,JAN,5355,FEB,13571,MAR,9099
SMN/074,JAN,13245,FEB,9071,MAR,13814
SMN/075,JAN,5025,FEB,8632,MAR,5122
SMN/076,JAN,11387,FEB,14461,MAR,13341
SMN/077,JAN,14102,FEB,8824,MAR,14783
SMN/078,JAN,8714,FEB,7623,MAR,12172
SMN/079,JAN,13254,FEB,12456,MAR,14469
SMN/080,JAN,6096,FEB,7499,MAR,11431
SMN/081,JAN,10505,FEB,12208,MAR,5758
SMN/082,JAN,13020,FEB,5068,MAR,14062
SMN/083,JAN,13721,FEB,6096,MAR,7455
SMN/084,JAN,11866,FEB,8039,MAR,5190
SMN/085,JAN,13261,FEB,13581,MAR,5730
SMN/086,JAN,13894,FEB,14813,MAR,13224
SMN/087,JAN,11771,FEB,11800,MAR,5665
SMN/088,JAN,11081,FEB,14495,MAR,5704
SMN/089,JAN,11075,FEB,11037,MAR,14438
SMN/090,JAN,9093,FEB,11888,MAR,5222
SMN/091,JAN,7395,FEB,5726,MAR,8620
SMN/092,JAN,11157,FEB,10367,MAR,10506
SMN/093,JAN,8166,FEB,6826,MAR,5109
SMN/094,JAN,9085,FEB,11084,MAR,6243
SMN/095,JAN,9200,FEB,12260,MAR,7089
SMN/096,JAN,5965,FEB,7993,MAR,6034
SMN/097,JAN,11204,FEB,11370,MAR,10839
SMN/098,JAN,6986,FEB,8379,MAR,8989
SMN/099,JAN,14444,FEB,6738,MAR,6906
SMN/100,JAN,14060,FEB,12112,MAR,7124
SMN/101,JAN,6653,FEB,6358,MAR,13346
SMN/102,JAN,10306,FEB,6061,MAR,6508
SMN/103,JAN,12793,FEB,10553,MAR,8710
SMN/104,JAN,9063,FEB,8511,MAR,9727
SMN/105,JAN,7325,FEB,9262,MAR,12821
SMN/106,JAN,12551,FEB,12279,MAR,6287
SMN/107,JAN,9073,FEB,5526,MAR,10385
SMN/108,JAN,11827,FEB,9354,MAR,11362
SMN/109,JAN,8961,FEB,13080,MAR,14456
SMN/110,JAN,6858,FEB,8541,MAR,9019
SMN/111,JAN,10462,FEB,10174,MAR,10079
SMN/112,JAN,11591,FEB,9674,MAR,13701
SMN/113,JAN,13081,FEB,10544,MAR,8890
SMN/114,JAN,8837,FEB,9397,MAR,7494
SMN/115,JAN,8689,FEB,9663,MAR,6552
SMN/116,JAN,11905,FEB,8562,MAR,6475
SMN/117,JAN,12204,FEB,5251,MAR,9650
SMN/118,JAN,6086,FEB,12508,MAR,14417
SMN/119,JAN,12271,FEB,14956,MAR,12598
SMN/120,JAN,14923,FEB,13415,MAR,9668
SMN/121,JAN,6730,FEB,11588,MAR,10390
SMN/122,JAN,11571,FEB,13893,MAR,14968
SMN/123,JAN,12691,FEB,10706,MAR,14205
SMN/124,JAN,6408,FEB,12488,MAR,6164
SMN/125,JAN,12086,FEB,13960,MAR,5784
SMN/126,JAN,7470,FEB,8442,MAR,13921
SMN/127,JAN,8252,FEB,6200,MAR,8273
SMN/128,JAN,13149,FEB,10443,MAR,14803
