smnno,first_month,amount,second_month,amount,third_month,amount 
JP0003,OCT,26102,NOV,26102,DEC,26102
JP0004,OCT,13334,NOV,13334,DEC,13334
JP0017,OCT,21120,NOV,21120,DEC,21120
JP0018,OCT,23833,NOV,23833,DEC,23833
JP0023,OCT,55875,NOV,55875,DEC,55875
JP0024,OCT,30033,NOV,30033,DEC,30033
JP0027,OCT,5000,NOV,5000,DEC,5000
JP0028,OCT,24733,NOV,24733,DEC,24733
JP0029,OCT,42412,NOV,42412,DEC,42412
JP0030,OCT,31250,NOV,31250,DEC,31250
JP0031,OCT,30751,NOV,30751,DEC,30751
JP0032,OCT,9000,NOV,9000,DEC,9000
JP0033,OCT,0,NOV,0,DEC,0
JP0036,OCT,17500,NOV,17500,DEC,17500
JP0039,OCT,53187,NOV,53187,DEC,53187
JP0040,OCT,24750,NOV,24750,DEC,24750
JP0042,OCT,24334,NOV,24334,DEC,24334
JP0045,OCT,13584,NOV,13584,DEC,13584
JP0054,OCT,24508,NOV,24508,DEC,24508
JP0057,OCT,19167,NOV,19167,DEC,19167
JP0061,OCT,37451,NOV,37451,DEC,37451
JP0062,OCT,0,NOV,0,DEC,0
JP0064,OCT,5000,NOV,5000,DEC,5000
JP0065,OCT,5000,NOV,5000,DEC,5000
JP0069,OCT,0,NOV,0,DEC,0
JP0072,OCT,43236,NOV,43236,DEC,43236
JP0077,OCT,0,NOV,0,DEC,0
JP0082,OCT,5845,NOV,5845,DEC,5845
JP0083,OCT,14417,NOV,14417,DEC,14417
JP0084,OCT,5000,NOV,5000,DEC,5000
JP0086,OCT,15668,NOV,15668,DEC,15668
JP0087,OCT,5000,NOV,5000,DEC,5000
JP0088,OCT,13834,NOV,13834,DEC,13834
JP0089,OCT,17717,NOV,17717,DEC,17717
JP0090,OCT,5000,NOV,5000,DEC,5000
JP0093,OCT,21700,NOV,21700,DEC,21700
JP0094,OCT,19167,NOV,19167,DEC,19167
JP0096,OCT,44142,NOV,44142,DEC,44142
JP0098,OCT,31792,NOV,31792,DEC,31792
JP0101,OCT,62483,NOV,62483,DEC,62483
JP0102,OCT,5000,NOV,5000,DEC,5000
JP0103,OCT,5000,NOV,5000,DEC,5000
JP0104,OCT,13333,NOV,13333,DEC,13333
JP0105,OCT,5000,NOV,5000,DEC,5000
JP0112,OCT,48519,NOV,48519,DEC,48519
