smnno,first_month,amount,second_month,amount,third_month,amount 
JP0003,JUL,24102,AUG,24102,SEP,24102
JP0004,JUL,3000,AUG,3000,SEP,3000
JP0017,JUL,21120,AUG,21120,SEP,21120
JP0018,JUL,21833.33333,AUG,21833.33333,SEP,21833.33333
JP0023,JUL,10000,AUG,10000,SEP,10000
JP0024,JUL,30033,AUG,30033,SEP,30033
JP0027,JUL,5000,AUG,5000,SEP,5000
JP0028,JUL,22733,AUG,22733,SEP,22733
JP0029,JUL,42412.11111,AUG,42412.11111,SEP,42412.11111
JP0030,JUL,29250,AUG,29250,SEP,29250
JP0031,JUL,28751,AUG,28751,SEP,28751
JP0032,JUL,7000,AUG,7000,SEP,7000
JP0033,JUL,0,AUG,0,SEP,0
JP0036,JUL,17500,AUG,17500,SEP,17500
JP0039,JUL,51187,AUG,51187,SEP,51187
JP0040,JUL,24750,AUG,24750,SEP,24750
JP0042,JUL,22334,AUG,22334,SEP,22334
JP0045,JUL,11584,AUG,11584,SEP,11584
JP0054,JUL,22508,AUG,22508,SEP,22508
JP0057,JUL,17167,AUG,17167,SEP,17167
JP0061,JUL,35451.33333,AUG,35451.33333,SEP,35451.33333
JP0062,JUL,0,AUG,0,SEP,0
JP0064,JUL,3000,AUG,3000,SEP,3000
JP0065,JUL,3000,AUG,3000,SEP,3000
JP0069,JUL,0,AUG,0,SEP,0
JP0072,JUL,43236,AUG,43236,SEP,43236
JP0077,JUL,5000,AUG,5000,SEP,5000
JP0082,JUL,3845,AUG,3845,SEP,3845
JP0083,JUL,12417,AUG,12417,SEP,12417
JP0084,JUL,3000,AUG,3000,SEP,3000
JP0086,JUL,13668,AUG,13668,SEP,13668
JP0087,JUL,19667,AUG,19667,SEP,19667
JP0088,JUL,11834,AUG,11834,SEP,11834
JP0089,JUL,15717,AUG,15717,SEP,15717
JP0090,JUL,3000,AUG,3000,SEP,3000
JP0093,JUL,19700,AUG,19700,SEP,19700
JP0094,JUL,32500.33,AUG,32500.33,SEP,32500.33
JP0096,JUL,42142,AUG,42142,SEP,42142
JP0098,JUL,29792,AUG,29792,SEP,29792
JP0101,JUL,39650,AUG,39650,SEP,39650
JP0102,JUL,3000,AUG,3000,SEP,3000
JP0103,JUL,3000,AUG,3000,SEP,3000
JP0104,JUL,24000.33333,AUG,24000.33333,SEP,24000.33333
JP0105,JUL,3000,AUG,3000,SEP,3000
JP0112,JUL,38185,AUG,38185,SEP,38185
Jp0113,JUL,28293,AUG,28293,SEP,28293
JP0114,JUL,16800,AUG,16800,SEP,16800
JP0115,JUL,44758,AUG,44758,SEP,44758
JP0118,JUL,59236,AUG,59236,SEP,59236
